position,country,name,club,boots,age,height
Defender,Brazil,Aílton,,Nike Phantom GT Elite,29,181
Midfielder,Morocco,Aïman Maurer,Clermont Foot 63,adidas X Crazyfast+,20,173
Midfielder,Spain,Aimar Oroz,CA Osasuna,Nike Mercurial Vapor 16 Elite,23,177
Midfielder,Sweden,Aimar Sher,,,22,175
Midfielder,Morocco,Aïmen Moueffek,AS Saint-Etienne,adidas X Crazyfast Elite,23,179
Defender,England,Ainsley Maitland-Niles,Olympique Lyonnais,Nike Tiempo Legend 10 Elite,27,180
Midfielder,Tunisia,Aïssa Laïdouni,,adidas X Crazyfast+,28,184
Defender,Algeria,Aïssa Mandi,LOSC Lille,adidas Predator Accuracy.1,33,186
Defender,Spain,Aitor Buñuel,,Nike Phantom GT2 Elite DF,26,174
Forward,Spain,Aitor Cantalapiedra,,Puma evoSPEED SL Leather,28,177
Forward,Spain,Aitor Cantalapiedra,,adidas X Crazyfast Elite LL,28,177
Goalkeeper,Spain,Aitor Fernández,CA Osasuna,Puma Ultra 5 Ultimate,33,182
Forward,Spain,Aitor García,,,30,173
Defender,Spain,Aitor Paredes,Athletic Club,Nike Phantom Luna 2 Elite,24,185
Forward,Spain,Aitor Ruibal,Real Betis Balompié,adidas Predator Elite LL,28,176
Forward,Benin,Aiyegun Tosin,FC Lorient,Puma Future 7 Ultimate,26,179
Forward,-,Ajak Riak,FC Sheriff Tiraspol,,24,192
Forward,-,Ajdin Hasic,,adidas X Crazyfast Elite,23,177
Midfielder,Australia,Ajdin Hrustić,US Salernitana 1919,Nike Mercurial Vapor 15 Elite,28,180
Defender,England,Aji Alese,Sunderland,Nike Tiempo Legend 10 Elite,23,192
Forward,Germany,Akaki Gogia,,adidas Nemeziz.1,32,178
Midfielder,Ukraine,Akhmed Alibekov,,Nike Mercurial Vapor X Elite,26,182
Defender,Algeria,Akim Zedadka,LOSC Lille,Nike Mercurial Vapor 15 Elite,29,174
Defender,England,Akin Famewo,,adidas X Crazyfast Elite,26,188
Forward,Nigeria,Akinkunmi Amoo,,Nike Mercurial Vapor 14 Elite,22,163
Forward,Nigeria,Akor Adams,Montpellier HSC,Nike Mercurial Superfly 9 Elite,24,190
Midfielder,Hungary,Ákos Elek,,,36,193
Defender,Hungary,Ákos Kecskés,,Puma Ultra Ultimate,29,190
Goalkeeper,Hungary,Ákos Ónodi,,adidas Copa 20.1,23,195
Forward,Qatar,Akram Afif,,adidas F50 Adizero Messi,28,177
Goalkeeper,Morocco,Alaa Bellaarouch,RC Strasbourg Alsace,adidas X Crazyfast Elite,22,188
Defender,Tunisia,Alaa Ghram,Shakhtar Donetsk,,23,190
Midfielder,Tunisia,Alaeddine Marzouki,,,35,189
Defender,Tunisia,Alaeddine Yahia,,Nike Mercurial Vapor 15 Elite,43,186
Midfielder,Spain,Alain Eizmendi,,,34,173
Forward,Spain,Alain Oyarzun,,Nike Phantom GX 2 Elite,31,183
Midfielder,Burkina Faso,Alain Traoré,,Nike Mercurial Superfly 9 Elite,36,176
Midfielder,Togo,Alaixys Romao,,adidas Predator Elite,40,180
Forward,Gabon,Alan Do Marcolino,,,22,194
Forward,France,Alan Dzabana,,,27,164
Midfielder,Russia,Alan Dzagoev,,Mizuno Morelia Ultra Light Japan,34,179
Defender,Brazil,Alan Empereur,,adidas Nemeziz.1,30,186
Defender,Argentina,Alan Franco,,Nike Phantom GX 2 Elite,28,183
Midfielder,Ecuador,Alan Franco,,Nike Mercurial Superfly 9 Elite,26,175
Forward,Spain,Alan Godoy,,,21,178
Forward,United States,Alan Gordon,,adidas X Crazyfast Elite,43,191
Defender,Scotland,Alan Hutton,,Nike Phantom GX 2 Elite,40,185
Goalkeeper,Northern Ireland,Alan Mannus,,,42,181
Defender,Uruguay,Alan Matturro,Genoa CFC,Nike Tiempo Legend 10 Elite,20,189
Midfielder,Brazil,Alan Patrick,,adidas Predator Elite FT,33,177
Forward,Mexico,Alán Pulido,,Nike Mercurial Superfly 9 Elite,33,174
Forward,Argentina,Alan Ruiz,,,31,183
Midfielder,United States,Alan Soñora,,,26,171
Defender,England,Alan Tate,,adidas Predator Elite,42,185
Midfielder,Argentina,Alan Varela,FC Porto,adidas Predator Elite,23,177
Forward,France,Alan Virginius,BSC Young Boys,adidas X Crazyfast Elite LL,22,180
Midfielder,France,Alassane N'Diaye,,Nike Mercurial Vapor 14 Elite,33,180
Forward,France,Alassane Pléa,Borussia Mönchengladbach,adidas X Crazyfast Elite LL,31,181
Midfielder,-,Alassane Sidibe,,,22,180
Defender,Mali,Alassane També,,Nike Mercurial Vapor 15 Elite,32,182
Defender,France,Alassane Touré,,Nike Mercurial Superfly 9 Elite,35,183
Goalkeeper,Albania,Alban Hoxha,,adidas Nemeziz+,37,188
Goalkeeper,France,Alban Lafont,FC Nantes,adidas Predator Elite,25,196
Midfielder,Albania,Alban Meha,,Nike Phantom VSN II Elite,38,173
Midfielder,Macedonia,Alban Sulejmani,,,26,182
Forward,Ghana,Albert Adomah,,Puma evoSPEED Fresh 2.0,37,185
Midfielder,Spain,Albert Dorca,,,42,183
Midfielder,Denmark,Albert Grønbaek,Stade Rennais FC,,23,181
Forward,Iceland,Albert Gudmundsson,ACF Fiorentina,adidas F50 Elite LL,27,177
Midfielder,France,Albert Lottin,,,23,181
Defender,Spain,Albert Navarro,,,17,188
Midfielder,France,Albert Rafetraniaina,,adidas X 15+ Primeknit,28,176
Midfielder,Spain,Albert Riera,,adidas Predator Elite,42,188
Midfielder,Belgium,Albert Sambi Lokonga,Sevilla FC,adidas Predator Elite,25,183
Defender,Austria,Albert Vallci,,Puma Ultra Ultimate,29,191
Forward,Honduras,Alberth Elis,,Nike Mercurial Vapor 15 Elite,28,185
Defender,Italy,Alberto Alari,,,25,188
Defender,Italy,Alberto Almici,,Nike Mercurial Superfly 9 Elite,32,179
Midfielder,Italy,Alberto Aquilani,,Nike Magista Opus II Elite,40,186
Defender,Spain,Alberto Botía,,Nike Tiempo Legend 10 Elite,35,187
Goalkeeper,Italy,Alberto Brignoli,AEK Athens,adidas Predator Elite LL,33,188
Forward,Spain,Alberto Bueno,,adidas X Crazyfast Elite,36,178
Forward,Italy,Alberto Cerri,,Nike Mercurial Vapor 15 Elite,28,194
Goalkeeper,Spain,Alberto Cifuentes,,Munich Tiga Leather,45,190
Defender,Spain,Alberto de la Bella,,Nike Phantom GX 2 Elite,39,182
Defender,Italy,Alberto Dossena,,adidas Copa Pure 2 Elite KT,26,195
Goalkeeper,Italy,Alberto Frison,,Puma Ultra 1.1,36,190
Goalkeeper,Spain,Alberto García,,Nike Mercurial Vapor 15 Elite,39,182
Forward,Italy,Alberto Gilardino,,Nike Hypervenom,42,184
Midfielder,Italy,Alberto Grassi,Empoli FC,adidas Predator Elite LL,29,183
Midfielder,Spain,Alberto Guitián,,Nike Phantom VSN Elite,34,182
Goalkeeper,Italy,Alberto Iglio,,Nike CTR360 Maestri,28,185
Defender,Spain,Alberto Lopo,,Nike Phantom GX 2 Elite,44,186
Defender,Spain,Alberto Lora,,adidas X Crazyfast Elite,37,168
Forward,Spain,Alberto Marí,,Puma Future 7 Ultimate,23,183
Midfielder,Spain,Alberto Martín,,,35,181
Midfielder,Spain,Alberto Moleiro,UD Las Palmas,adidas X Crazyfast+,21,171
Defender,Spain,Alberto Moreno,,adidas X Crazyfast+,32,171
Goalkeeper,Italy,Alberto Paleari,Torino FC,,32,193
Forward,Italy,Alberto Paloschi,,Nike Mercurial Superfly VII Elite,35,183
Goalkeeper,Italy,Alberto Pelagotti,,Puma ONE 5.1 evoKnit,35,186
Forward,Spain,Alberto Perea,,Puma Ultra Ultimate,34,175
Midfielder,Italy,Alberto Picchi,,,27,185
Goalkeeper,Italy,Alberto Pomini,,Nike Mercurial Vapor X Elite,43,185
Forward,Spain,Alberto Quiles,,,29,188
Midfielder,Panama,Alberto Quintero,,adidas Nemeziz 17.1,37,165
Defender,Peru,Alberto Rodríguez,,adidas X Crazyfast Elite,40,183
Defender,Italy,Alberto Senese,,,24,182
Forward,Spain,Alberto Soro,,adidas Predator Elite,25,173
Midfielder,Italy,Alberto Torelli,,,29,182
Forward,Switzerland,Albian Ajeti,,Nike Mercurial Superfly 9 Elite,27,183
Forward,Switzerland,Albian Ajeti,FC Basel 1893,Nike Mercurial Vapor 15 Elite,27,181
Midfielder,Sweden,Albin Ekdal,,adidas Copa Pure 2 Elite,35,186
Forward,Kosovo,Albion Rrahmani,AC Sparta Prague,,24,188
Defender,France,Aldo Angoula,,adidas Predator Elite,43,184
Defender,Peru,Aldo Corzo,,adidas Predator Elite,35,172
Forward,France,Aldo Kalulu,,adidas X 19+,28,166
Forward,Spain,Ale García,,,21,181
Defender,Italy,Aleandro Rosi,,Nike Mercurial Superfly 9 Elite,37,184
Defender,France,Alec Georgen,,Nike Mercurial Vapor 15 Elite,26,172
Midfielder,United States,Alec Sundly,,adidas Predator Elite,32,183
Midfielder,Brazil,Alef,,adidas X 18.1,29,172
Midfielder,Spain,Aleix Febas,Elche CF,Nike Phantom Luna 2 Elite,28,172
Midfielder,Spain,Aleix García,Bayer 04 Leverkusen,adidas F50 Elite,27,173
Forward,Spain,Aleix Vidal,,Nike Mercurial Vapor XIII Elite,35,177
Midfielder,Spain,Alejandro Alfaro,,,38,175
Defender,Spain,Alejandro Arribas,,Nike Tiempo Legend 10 Elite,35,185
Defender,Colombia,Alejandro Artunduaga,,,27,175
Defender,Spain,Alejandro Balde,FC Barcelona,Nike Mercurial Vapor 16 Elite,21,175
Midfielder,United States,Alejandro Bedoya,,Nike Tiempo Legend 10 Elite,37,178
Forward,Spain,Alejandro Cantero,,adidas X Crazyfast Elite,24,184
Defender,Spain,Alejandro Catena,CA Osasuna,Nike Mercurial Vapor 16 Elite,30,194
Midfielder,Argentina,Alejandro Domínguez,,adidas Predator Elite,43,176
Goalkeeper,Peru,Alejandro Duarte,,,30,182
Midfielder,Argentina,Alejandro Faurlín,,adidas X 15.1 Leather,38,185
Defender,Spain,Alejandro Francés,Girona FC,adidas Predator Elite LL,22,182
Defender,Spain,Alejandro Gálvez,,Nike Mercurial Superfly 9 Elite,35,188
Forward,Argentina,Alejandro Garnacho,Manchester United,Nike Mercurial Vapor 16 Elite,20,180
Defender,Uruguay,Alejandro González,,Nike Mercurial Superfly 9 Elite,36,184
Defender,Spain,Alejandro Grimaldo,Bayer 04 Leverkusen,adidas F50 Elite,29,171
Midfielder,Venezuela,Alejandro Guerra,,Nike Mercurial Vapor X Elite,39,172
Midfielder,Peru,Alejandro Hohberg,,Nike Mercurial Superfly 9 Elite,33,172
Midfielder,Bolivia,Alejandro Meleán,,,37,183
Midfielder,Spain,Alejandro Pozuelo,,Nike Mercurial Vapor 15 Elite,33,170
Goalkeeper,Spain,Alejandro Remiro,,Nike Tiempo Legend 10 Elite,29,191
Forward,Spain,Alejandro Rodríguez,,adidas Copa Pure 2 Elite,33,183
Forward,United States,Alejandro Zendejas,,,26,165
Forward,Argentina,Alejo Veliz,RCD Espanyol,adidas F50 Elite,21,186
Midfielder,Russia,Aleks Matsukatov,,adidas Nemeziz.1,26,180
Midfielder,Slovenia,Aleks Pihler,,,30,183
Defender,Serbia,Aleksa Terzic,Red Bull Salzburg,Nike Mercurial Vapor 15 Elite,25,184
Forward,Serbia,Aleksa Vukanovic,,Nike Mercurial Vapor XIII Elite,32,189
Defender,Bulgaria,Aleksandar Aleksandrov,,Mizuno Morelia Neo,38,188
Defender,Austria,Aleksandar Dragovic,,Puma Future 7 Ultimate,33,186
Defender,Serbia,Aleksandar Filipovic,,adidas X Crazyfast Elite,30,184
Midfielder,Serbia,Aleksandar Ignjovski,,Nike Tiempo Legend 10 Elite,33,175
Goalkeeper,Serbia,Aleksandar Jovanovic,,,32,192
Forward,Serbia,Aleksandar Katai,Red Star Belgrade,Nike Mercurial Vapor 14 Elite,33,182
Defender,Serbia,Aleksandar Kolarov,,Nike Mercurial Vapor 15 Elite,39,187
Defender,Serbia,Aleksandar Lukic,,,22,189
Forward,Serbia,Aleksandar Mitrovic,,Puma Ultra 5 Ultimate,30,189
Defender,Serbia,Aleksandar Pantić,,Mizuno Morelia Neo,32,184
Midfielder,Germany,Aleksandar Pavlovic,Bayern München,Nike Mercurial Vapor 16 Elite,20,188
Forward,Serbia,Aleksandar Pesic,Ferencváros TC,Nike Mercurial Vapor XII Elite,32,190
Forward,Switzerland,Aleksandar Prijovic,,Nike Mercurial Superfly 9 Elite,34,191
Defender,Serbia,Aleksandar Radovanovic,UD Almería,adidas ACE 16.1 Primeknit,31,190
Defender,Serbia,Aleksandar Sedlar,Deportivo Alavés,Puma Future 7 Ultimate,33,180
Goalkeeper,Serbia,Aleksandar Stankovic,,,26,191
Midfielder,Serbia,Aleksandar Stevanović,,adidas X Crazyfast Elite,32,175
Defender,Australia,Aleksandar Susnjar,,,29,192
Midfielder,Bulgaria,Aleksandar Tonev,,,34,178
Forward,-,Aleksandar Trajkovski,,Nike Mercurial Vapor 15 Elite,32,179
Midfielder,Bulgaria,Aleksandar Vasilev,,,29,174
Defender,Serbia,Aleksandar Vukotic,SV Darmstadt 98,,29,201
Forward,Poland,Aleksander Buksa,,,21,189
Midfielder,Sweden,Aleksander Nilsson,,,22,178
Defender,Slovakia,Aleksander Rajčević,,Nike Magista Opus II Elite,38,185
Midfielder,Bulgaria,Aleksander Tonev,,Nike Mercurial Superfly 9 Elite,34,178
Defender,Russia,Aleksandr Anyukov,,Nike Tiempo Legend 10 Elite,42,178
Forward,Russia,Aleksandr Bukharov,,,39,193
Midfielder,Russia,Aleksandr Chernikov,FK Krasnodar,Nike Phantom Luna 2 Elite,24,184
Midfielder,Belarus,Aleksandr Dzhigero,,,28,173
Midfielder,Russia,Aleksandr Erokhin,Zenit St. Petersburg,Nike Mercurial Superfly,35,195
Midfielder,Russia,Aleksandr Golovin,AS Monaco,Nike Mercurial Vapor 16 Elite,28,178
Midfielder,Belarus,Aleksandr Hleb,,,43,185
Midfielder,Belarus,Aleksandr Karnitskiy,,adidas F50 Adizero Messi,35,187
Forward,Russia,Aleksandr Kerzhakov,,adidas X Crazyfast Elite,42,176
Forward,Russia,Aleksandr Kokorin,,Nike Mercurial Vapor 15 Elite,33,184
Midfielder,Azerbaijan,Aleksandr Kolomeytsev,,Nike Tiempo Legend 10 Elite,25,179
Forward,Russia,Aleksandr Lomovitskiy,,Nike Phantom GT Elite,26,181
Midfielder,Russia,Aleksandr Makarov,,Nike Mercurial Vapor XI Elite,28,177
Goalkeeper,Russia,Aleksandr Maksimenko,Spartak Moscow,Nike Mercurial Superfly 9 Elite,26,187
Defender,-,Aleksandr Martynovich,,Puma Future 7 Ultimate,37,192
Midfielder,Belarus,Aleksandr Pavlov,,Mizuno Morelia II Japan,40,178
Midfielder,Russia,Aleksandr Ryazantsev,,Nike Magista Opus II Elite,38,176
Midfielder,Russia,Aleksandr Samedov,,adidas X Crazyfast Elite,40,177
Midfielder,Russia,Aleksandr Sapeta,,,35,183
Goalkeeper,Russia,Aleksandr Selikhov,Spartak Moscow,Nike Tiempo Legend 10 Elite,30,190
Defender,Russia,Aleksandr Silyanov,Lokomotiv Moscow,Nike Phantom GX 2 Elite,23,185
Forward,Russia,Aleksandr Sobolev,Zenit St. Petersburg,Nike Mercurial Vapor 15 Elite,27,195
Forward,Russia,Aleksandr Tashaev,,Nike Mercurial Vapor 15 Elite,30,179
Midfielder,Russia,Aleksandr Troshechkin,,,28,184
Goalkeeper,Russia,Aleksandr Vasyutin,,adidas Copa Sense.1,29,190
Midfielder,-,Aleksandr Volodjko,,,38,177
Midfielder,Belarus,Aleksandr Volodko,,Nike Mercurial Vapor 15 Elite,38,177
Midfielder,Russia,Aleksandr Zuev,,,28,176
Midfielder,-,Aleksandre Peikrishvili,,,18,184
Midfielder,Albania,Aleksandros Dhamo,,,26,168
Midfielder,Latvia,Aleksandrs Cauņa,,Nike Phantom GX 2 Elite,36,174
Midfielder,Latvia,Aleksejs Saveljevs,,,25,184
Defender,Russia,Aleksey Berezutskiy,,adidas MESSI 16+ Pureagility,42,190
Forward,Russia,Aleksey Ionov,,adidas X Crazyfast+,35,177
Midfielder,Azerbaijan,Aleksey Isayev,Qarabağ FK,,29,177
Defender,Russia,Aleksey Kozlov,,Nike Phantom GX 2 Elite,38,185
Midfielder,Russia,Aleksey Miranchuk,,adidas X Crazyfast Elite,29,182
Midfielder,Belarus,Aleksey Rios,,,37,182
Forward,Russia,Aleksey Sutormin,FK Rostov,Mizuno Morelia Neo III Beta Japan,31,188
Midfielder,Croatia,Alen Halilović,,adidas X 17.1 Leather,28,170
Goalkeeper,Albania,Alen Sherri,Cagliari Calcio,,27,197
Midfielder,Serbia,Alen Stevanović,,Nike Mercurial Superfly 9 Elite,34,180
Midfielder,-,Ales Cermak,,Nike Tiempo Legend 10 Elite,30,181
Goalkeeper,-,Ales Hruska,,Nike Mercurial Vapor 15 Elite,39,192
Goalkeeper,-,Ales Mandous,,Puma Future 7 Ultimate,32,188
Defender,-,Ales Mateju,Spezia Calcio,Puma Ultra Ultimate,28,185
Defender,Slovenia,Aleš Mejač,,Nike Phantom GX 2 Elite,41,180
Midfielder,Slovenia,Aleš Mertelj,,adidas Predator Elite,37,184
Defender,Albania,Alesio Mija,FC Sheriff Tiraspol,,23,186
Defender,Italy,Alessandro Agostini,,Mizuno Morelia Neo,45,177
Defender,Italy,Alessandro Bassoli,S.P.A.L. 2013,,34,185
Defender,Italy,Alessandro Bastoni,Inter,Puma Future 7 Ultimate,25,190
Defender,Italy,Alessandro Bastrini,,adidas Predator Elite,37,186
Midfielder,Italy,Alessandro Bellemo,UC Sampdoria,,29,184
Goalkeeper,Italy,Alessandro Berardi,Hellas Verona,adidas Copa Pure.1,33,185
Defender,Italy,Alessandro Bernardini,,Nike Phantom GX 2 Elite,37,189
Midfielder,Italy,Alessandro Bianco,AC Monza,Puma Ultra Ultimate,22,173
Midfielder,Italy,Alessandro Bordin,,,26,176
Midfielder,Italy,Alessandro Bruno,,,41,174
Defender,Italy,Alessandro Buongiorno,SSC Napoli,adidas F50 Elite,25,190
Forward,Italy,Alessandro Capello,,Nike Magista Obra,29,183
Goalkeeper,Italy,Alessandro Confente,,,26,194
Midfielder,Italy,Alessandro Cortinovis,,adidas X Crazyfast Elite,23,180
Defender,Italy,Alessandro Crescenzi,,adidas Predator 20.1,33,178
Midfielder,Italy,Alessandro De Vitis,,adidas Nemeziz.1,32,184
Midfielder,Italy,Alessandro Deiola,Cagliari Calcio,adidas Predator Elite FT,29,190
Defender,Italy,Alessandro Di Pardo,,Puma Future 7 Ultimate,25,182
Midfielder,Italy,Alessandro Diamanti,,Nike Tiempo Legend 10 Elite,41,180
Midfielder,Italy,Alessandro Faggioli,,,24,180
Defender,Italy,Alessandro Fiordaliso,S.P.A.L. 2013,adidas X 19.1,25,184
Defender,Italy,Alessandro Florenzi,AC Milan,Nike Phantom GX 2 Elite,33,173
Defender,Italy,Alessandro Fontanarosa,,Nike Mercurial Vapor 15 Elite,21,185
Midfielder,Italy,Alessandro Frara,,adidas ACE 16.1 Primeknit,42,177
Defender,Italy,Alessandro Gamberini,,Nike Tiempo Legend 10 Elite,43,185
Defender,Italy,Alessandro Garattoni,,,26,185
Midfielder,Italy,Alessandro Gazzi,,adidas Copa Mundial,41,184
Goalkeeper,Italy,Alessandro Giacomel,,,26,195
Goalkeeper,Italy,Alessandro Guarnone,,,25,182
Goalkeeper,Italy,Alessandro Iacobucci,,adidas Predator 20.1,33,187
Defender,Italy,Alessandro Ligi,,,35,191
Defender,Italy,Alessandro Longhi,,Nike Mercurial Superfly VII Elite,35,185
Midfielder,Italy,Alessandro Lovisa,,,23,188
Midfielder,Italy,Alessandro Mallamo,,,25,174
Defender,Italy,Alessandro Marcandalli,Genoa CFC,,22,190
Midfielder,Switzerland,Alessandro Martinelli,,,31,175
Forward,Italy,Alessandro Matri,,adidas Nemeziz.1,40,183
Defender,Italy,Alessandro Mattioli,,,26,181
Midfielder,Italy,Alessandro Mercati,,,22,181
Goalkeeper,Italy,Alessandro Micai,,Nike Mercurial Vapor 14 Elite,31,186
Midfielder,Italy,Alessandro Murgia,,adidas Predator Elite,28,185
Forward,Germany,Alessandro Pasotti,,,33,190
Defender,Italy,Alessandro Pilati,,,24,190
Forward,Italy,Alessandro Piu,,Nike Mercurial Vapor 15 Elite,28,183
Goalkeeper,Italy,Alessandro Plizzari,Pescara Calcio,Puma Ultra Ultimate,24,187
Forward,Italy,Alessandro Polidori,,,32,182
Midfielder,Italy,Alessandro Romairone,,,25,191
Forward,Italy,Alessandro Rossi,,adidas X 18+,28,184
Goalkeeper,Italy,Alessandro Russo,US Sassuolo,Puma Future 7 Ultimate,23,193
Midfielder,Italy,Alessandro Sala,,Nike Mercurial Vapor 15 Elite,23,185
Defender,Italy,Alessandro Salvi,,Nike Mercurial Vapor XIII Elite,36,183
Goalkeeper,Italy,Alessandro Santopadre,,,26,185
Midfielder,Italy,Alessandro Sbaffo,,Puma King,34,187
Midfielder,Austria,Alessandro Schöpf,,adidas X Crazyfast Elite,30,178
Defender,Italy,Alessandro Semprini,,adidas X 19.1,26,183
Goalkeeper,Italy,Alessandro Sorrentino,Frosinone Calcio,Nike Phantom GX 2 Elite,22,190
Defender,Switzerland,Alessandro Stabile,,,24,180
Defender,Italy,Alessandro Tripaldelli,,adidas X Crazyfast Elite,25,182
Defender,Italy,Alessandro Tuia,,adidas X Speedflow.1,34,184
Defender,Italy,Alessandro Vogliacco,Genoa CFC,adidas Copa Pure 2 Elite,26,186
Defender,Italy,Alessandro Zanoli,Genoa CFC,adidas X Crazyfast Elite LL,24,188
Midfielder,Italy,Alessio Brambilla,,,23,184
Midfielder,Belgium,Alessio Castro-Montes,,,27,175
Midfielder,Italy,Alessio Cerci,,Nike Mercurial Vapor 15 Elite,37,180
Goalkeeper,Italy,Alessio Cragno,AC Monza,Lotto Solista 200,30,184
Midfielder,Cape Verde,Alessio Da Cruz,,Nike Phantom GX 2 Elite,27,186
Forward,Italy,Alessio Di Massimo,,,28,178
Goalkeeper,Italy,Alessio Furlanetto,SS Lazio,Puma Future Ultimate,22,191
Defender,Italy,Alessio Girgi,,,24,182
Midfielder,Italy,Alessio Militari,,,25,185
Midfielder,Italy,Alessio Murgia,,,27,166
Midfielder,Italy,Alessio Riccardi,,Nike Phantom Luna 2 Elite,23,178
Defender,Italy,Alessio Romagnoli,SS Lazio,Nike Tiempo Legend 10 Elite,29,185
Midfielder,Italy,Alessio Rossi,,,21,177
Midfielder,Italy,Alessio Sabbione,,,33,181
Midfielder,Italy,Alessio Sestu,,adidas X Crazyfast Elite,41,179
Midfielder,Italy,Alessio Vita,,,31,178
Forward,Italy,Alessio Zerbin,SSC Napoli,adidas F50 Elite,25,182
Defender,Brazil,Alex,,Nike Phantom GX 2 Elite,42,189
Forward,Spain,Álex Alegría,,Nike Mercurial Superfly 9 Elite,32,191
Forward,Spain,Álex Baena,Villarreal CF,Nike Mercurial Vapor 16 Elite,23,174
Midfielder,-,Álex Balboa,,,23,181
Defender,England,Alex Baptiste,,Nike Tiempo Legend 10 Elite,38,180
Midfielder,Spain,Álex Barrera,,adidas Nitrocharge,33,190
Forward,Spain,Álex Berenguer,Athletic Club,adidas F50 Elite,29,175
Midfielder,Spain,Álex Bergantiños,,Nike Magista Opus II Elite,39,176
Forward,Spain,Álex Blanco,,Nike Mercurial Vapor 15 Elite,26,175
Midfielder,Spain,Álex Blesa,,adidas X Crazyfast Elite LL,22,180
Defender,Ireland,Alex Bruce,,Nike Tiempo Legend 10 Elite,40,180
Midfielder,Spain,Àlex Carbonell,,Nike Phantom GX 2 Elite,27,182
Defender,Spain,Álex Centelles,UD Almería,Puma Future 7 Ultimate,25,185
Goalkeeper,Australia,Alex Cisak,,Nike Magista Opus II Elite,35,190
Forward,Spain,Álex Collado,,adidas X Crazyfast Elite,25,177
Goalkeeper,Italy,Alex Cordaz,,adidas Predator Elite,42,188
Goalkeeper,Spain,Álex Domínguez,Toulouse FC,adidas X Crazyfast Elite,26,187
Midfielder,Spain,Álex Felip,,Nike CTR360 Maestri,32,180
Midfielder,Spain,Álex Fernández,Cádiz CF,adidas Predator Elite LL,32,183
Defender,Italy,Alex Ferrari,UC Sampdoria,adidas Copa Pure 2 Elite,30,191
Forward,Spain,Álex Gallar,,,32,178
Forward,Switzerland,Álex Geijo,,adidas F50 Adizero Chameleon 2010,42,184
Goalkeeper,United States,Alex Gersbach,,Nike Mercurial Vapor 15 Elite,29,180
Midfielder,Spain,Álex Granell,,Nike Magista Opus II Elite,36,180
Forward,Nigeria,Alex Iwobi,Fulham,adidas F50 Elite,28,183
Defender,Spain,Álex Jiménez,AC Milan,adidas F50 Elite LL,19,177
Defender,Haiti,Alex Júnior,,,31,176
Midfielder,Sweden,Alex Kačaniklić,,Nike Mercurial Superfly 9 Elite,33,181
Forward,Cyprus,Alex Konstantinou,,,32,168
Midfielder,-,Alex Král,RCD Espanyol,Nike Tiempo Legend 9 Elite,26,186
Midfielder,Spain,Álex López,,adidas Predator Elite,37,174
Midfielder,Spain,Álex López,,adidas Predator 19.1,27,176
Forward,Spain,Álex López,,adidas X 19.1,31,186
Goalkeeper,France,Alex Maraval,,,31,183
Defender,Spain,Álex Martín,Elche CF,,26,183
Defender,Spain,Álex Martínez,,Nike Magista Opus II Elite,34,176
Goalkeeper,England,Alex McCarthy,Southampton,adidas Predator Elite LL,35,193
Defender,Spain,Álex Menéndez,,Nike Magista Opus,33,181
Goalkeeper,Italy,Alex Meret,SSC Napoli,adidas Predator Elite,27,190
Forward,England,Alex Mighten,,Nike Mercurial Vapor 15 Elite,22,171
Defender,Spain,Álex Moreno,Nottingham Forest,adidas F50 Elite,31,179
Midfielder,Spain,Álex Mula,,,28,178
Defender,Spain,Álex Muñoz,UD Las Palmas,,30,187
Defender,Ireland,Alex Murphy,Newcastle United,adidas F50 Elite,20,188
Midfielder,England,Alex Oxlade-Chamberlain,Beşiktaş JK,Nike Phantom GX Elite,31,180
Goalkeeper,Mexico,Álex Padilla,Athletic Club,Puma Future 7 Ultimate,21,190
